Ariana Savalas - One Man Show
Lisa Fuller - New Coat Of Paint
Christian Rannenberg - Early Morning Blues
Christian Willisohn - Blues In My Bottle
Dirty Blues
Fire On The Floor
New Year Blues
Debbie Davies - A Darker Side Of Me
Oscar Peterson & Count Basie - Slow Blues
Mean Blues
What Kind Of Woman Is This?
This Little Bird
Ball And Chain
Bumble Bee
Unlucky Girl
Get These Blues Off Me
I Got the Blues
The Sun Went Down
My Baby Is Now On My Mind
Vida Lee
Strugglin' Blues
Jim Suhler & Monkey Beat - Sure As The Sun Rises
Blues Man
Slow Walk (Slow Burn)
Worry Worry Worry
Sweet Home Chicago
Going Down Slow
I Don't Know
Troubles Troubles Troubles
Got To Move (Mono Version)
Decoration Day (Stereo Version)
So Long
Call It Stormy Monday (But Tuesday Is Just As Bad)
